row,item,size,batch,expiration,totalIn,outQty,stock,productStatus,monthsUntilExpiration,ref,arrivalDate,origin,prodDate,mfg
133,S-Molasses CA,32 oz,8316-250211,2028-11-02,398.0,184.0,214.0,OK,19,SO-1651,2026-02-13,Micro-TES,2025-11-02,EV
134,S-Molasses CA,32 oz,241015,2027-10-15,5.0,0.0,5.0,OK,15,SO-1651,2026-02-13,Micro-TES,2024-10-15,EV
135,S-Molasses CA,32 oz,240418,2027-04-18,7.0,0.0,7.0,OK,9,SO-1651,2026-02-13,Micro-TES,2024-04-18,EV
146,SOS,275 gal tote,518-260319,2027-09-19,2.0,0.0,2.0,OK,14,SO-1669,2026-03-25,Micro-TES,2026-03-19,EV
147,SOS,275 gal tote,519-260319,2027-09-19,1.0,0.0,1.0,OK,14,SO-1669,2026-03-25,Micro-TES,2026-03-19,EV
148,SOS,275 gal tote,517-260319,2027-09-19,1.0,0.0,1.0,OK,14,SO-1671 PS-1,2026-03-25,Micro-TES,2026-03-19,EV
150,SOS,2.5 gal,541-260416,2027-10-15,544.0,8.0,536.0,OK,15,Inv. 723464,2026-04-28,Coastal Contract,2026-04-16,LV
153,SOILPRO,275 gal tote,544-260421,2027-10-21,3.0,1.0,2.0,OK,15,received from coastal,2026-05-28,Coastal Contract,2026-04-21,LV
154,PWC-1,275 gal tote,580-260602,2027-02-12,2.0,0.0,2.0,OK,16,SO-1747 PS-1,2026-10-06,Micro-TES,2026-02-06,EV
155,PWC-1,275 gal tote,583-260602,2027-02-12,1.0,0.0,1.0,OK,16,SO-1747 PS-1,2026-10-06,Micro-TES,2026-02-06,EV
156,PWC-1,275 gal tote,582-260602,2027-02-12,1.0,0.0,1.0,OK,16,SO-1747 PS-1,2026-10-06,Micro-TES,2026-02-06,EV
157,PWC-1,275 gal tote,581-260602,2027-02-12,1.0,0.0,1.0,OK,16,SO-1747 PS-1,2026-10-06,Micro-TES,2026-02-06,EV
158,SOILPRO,275 gal tote,585-260608,2027-08-12,2.0,0.0,2.0,OK,17,SO-1750,2026-06-16,Micro-TES,2026-08-06,EV
159,SOILPRO,1 gal,539-260415,2027-10-15,144.0,0.0,144.0,OK,15,SO-1713 PS-1,2026-06-22,Micro-TES,2026-04-15,EV
160,SOS,1 gal,550-260427,2027-10-27,144.0,0.0,144.0,OK,15,SO-1713 PS-1,2026-06-22,Micro-TES,2026-04-27,EV
161,SSB,275 gal tote,589-260611,2027-11-12,3.0,0.0,3.0,OK,17,SO-1663 PS-1/SO-1683 PS-2,2026-06-26,Micro-TES,2026-11-06,EV
162,PWC-1,275 gal tote,580-260602,2027-02-12,1.0,0.0,1.0,OK,16,SO-1722,2026-06-26,Micro-TES,2026-02-06,EV
163,SOS,275 gal tote,591-260611,2027-11-12,2.0,0.0,2.0,OK,17,SO-1734 PS-1,2026-06-26,Micro-TES,2026-11-06,EV
164,SOS,275 gal tote,590-260611,2027-11-12,1.0,0.0,1.0,OK,17,SO-1734 PS-1,2026-06-26,Micro-TES,2026-11-06,EV
165,SSB,1 gal,579-260602,2027-02-12,144.0,0.0,144.0,OK,16,SO-1713 PS-2,2026-01-07,Micro-TES,2026-02-06,EV
166,SOILPRO,275 gal tote,596-260624,2027-12-24,2.0,0.0,2.0,OK,17,SO-1733,2026-01-07,Micro-TES,2026-06-24,EV
